year  density
1946  2    
1947  2    
1948  4    
1949  5    
1950  9    
1951  7    
1952  9    
1953  9    
1954  11    
1955  31    
1956  34    
1957  36    
1958  21    
1959  33    
1960  41    
1961  56    
1962  60    
1963  NA    
1964  NA    
1965  NA    
1966  NA    
1967  33    
1968  49    
1969  68    
1970  54    
1971  101    
1972  109    
1973  102    
1974  114    
1975  143    
1976  171    
1977  198    
1978  209    
1979  178    
1980  170    
1981  198    
1982  272    
1983  258    
1984  247    
1985  212    
1986  296    
1987  259    
1988  279    
1989  NA    
1990  318    
1991  307    
1992  176    
1993  200
