"ring","tmt","id","year","diam","cones"
1,"AMB",1,1998,19.4,0
1,"AMB",1,1999,19.4,0
1,"AMB",1,2000,19.4,0
1,"AMB",2,1998,14.1,0
1,"AMB",2,1999,14.1,0
1,"AMB",2,2000,14.1,4
1,"AMB",3,1998,19.4,0
1,"AMB",3,1999,19.4,6
1,"AMB",3,2000,19.4,0
1,"AMB",4,1998,21.6,0
1,"AMB",4,1999,21.6,0
1,"AMB",4,2000,21.6,0
1,"AMB",5,1998,10.8,0
1,"AMB",5,1999,10.8,0
1,"AMB",5,2000,10.8,0
1,"AMB",6,1998,19.8,0
1,"AMB",6,1999,19.8,0
1,"AMB",6,2000,19.8,0
1,"AMB",7,1998,6.1,0
1,"AMB",7,1999,6.1,0
1,"AMB",7,2000,6.1,0
1,"AMB",8,1998,15.5,0
1,"AMB",8,1999,15.5,0
1,"AMB",8,2000,15.5,0
1,"AMB",9,1998,16.1,0
1,"AMB",9,1999,16.1,0
1,"AMB",9,2000,16.1,0
1,"AMB",10,1998,5.8,0
1,"AMB",10,1999,5.8,0
1,"AMB",10,2000,5.8,0
1,"AMB",11,1998,7.3,0
1,"AMB",11,1999,7.3,0
1,"AMB",11,2000,7.3,0
1,"AMB",12,1998,17.3,0
1,"AMB",12,1999,17.3,0
1,"AMB",12,2000,17.3,0
1,"AMB",13,1998,7.7,0
1,"AMB",13,1999,7.7,0
1,"AMB",13,2000,7.7,0
1,"AMB",14,1998,18.6,0
1,"AMB",14,1999,18.6,4
1,"AMB",14,2000,18.6,2
1,"AMB",15,1998,8,0
1,"AMB",15,1999,8,0
1,"AMB",15,2000,8,0
1,"AMB",16,1998,10.8,0
1,"AMB",16,1999,10.8,0
1,"AMB",16,2000,10.8,0
1,"AMB",17,1998,14,0
1,"AMB",17,1999,14,0
1,"AMB",17,2000,14,2
1,"AMB",18,1998,19,0
1,"AMB",18,1999,19,2
1,"AMB",18,2000,19,8
1,"AMB",19,1998,3.4,0
1,"AMB",19,1999,3.4,0
1,"AMB",19,2000,3.4,0
1,"AMB",20,1998,16.3,0
1,"AMB",20,1999,16.3,0
1,"AMB",20,2000,16.3,0
1,"AMB",21,1998,15.6,0
1,"AMB",21,1999,15.6,0
1,"AMB",21,2000,15.6,0
1,"AMB",22,1998,4.4,0
1,"AMB",22,1999,4.4,0
1,"AMB",22,2000,4.4,0
1,"AMB",23,1998,16.5,0
1,"AMB",23,1999,16.5,0
1,"AMB",23,2000,16.5,3
1,"AMB",24,1998,16.2,0
1,"AMB",24,1999,16.2,0
1,"AMB",24,2000,16.2,8
1,"AMB",25,1998,21.6,0
1,"AMB",25,1999,21.6,3
1,"AMB",25,2000,21.6,1
1,"AMB",26,1998,18.8,0
1,"AMB",26,1999,18.8,0
1,"AMB",26,2000,18.8,0
1,"AMB",27,1998,19.1,0
1,"AMB",27,1999,19.1,0
1,"AMB",27,2000,19.1,3
1,"AMB",28,1998,15.5,0
1,"AMB",28,1999,15.5,0
1,"AMB",28,2000,15.5,0
1,"AMB",29,1998,9.3,0
1,"AMB",29,1999,9.3,0
1,"AMB",29,2000,9.3,0
1,"AMB",30,1998,6,0
1,"AMB",30,1999,6,0
1,"AMB",30,2000,6,0
1,"AMB",31,1998,11.7,0
1,"AMB",31,1999,11.7,0
1,"AMB",31,2000,11.7,0
1,"AMB",32,1998,24.3,0
1,"AMB",32,1999,24.3,12
1,"AMB",32,2000,24.3,15
1,"AMB",33,1998,21.5,0
1,"AMB",33,1999,21.5,10
1,"AMB",33,2000,21.5,12
1,"AMB",34,1998,3.5,0
1,"AMB",34,1999,3.5,0
1,"AMB",34,2000,3.5,0
1,"AMB",35,1998,3,0
1,"AMB",35,1999,3,0
1,"AMB",35,2000,3,0
1,"AMB",36,1998,14.2,0
1,"AMB",36,1999,14.2,0
1,"AMB",36,2000,14.2,0
1,"AMB",37,1998,10.2,0
1,"AMB",37,1999,10.2,0
1,"AMB",37,2000,10.2,0
1,"AMB",38,1998,12.2,0
1,"AMB",38,1999,12.2,0
1,"AMB",38,2000,12.2,0
1,"AMB",39,1998,9.3,0
1,"AMB",39,1999,9.3,0
1,"AMB",39,2000,9.3,0
1,"AMB",40,1998,15.4,0
1,"AMB",40,1999,15.4,0
1,"AMB",40,2000,15.4,0
1,"AMB",41,1998,19.8,0
1,"AMB",41,1999,19.8,0
1,"AMB",41,2000,19.8,0
1,"AMB",42,1998,11.3,0
1,"AMB",42,1999,11.3,0
1,"AMB",42,2000,11.3,0
1,"AMB",43,1998,21.4,0
1,"AMB",43,1999,21.4,0
1,"AMB",43,2000,21.4,0
1,"AMB",44,1998,18.9,0
1,"AMB",44,1999,18.9,0
1,"AMB",44,2000,18.9,0
1,"AMB",45,1998,12.7,0
1,"AMB",45,1999,12.7,0
1,"AMB",45,2000,12.7,0
1,"AMB",46,1998,21.1,0
1,"AMB",46,1999,21.1,2
1,"AMB",46,2000,21.1,15
1,"AMB",47,1998,22.3,0
1,"AMB",47,1999,22.3,0
1,"AMB",47,2000,22.3,0
1,"AMB",48,1998,12.7,0
1,"AMB",48,1999,12.7,0
1,"AMB",48,2000,12.7,0
1,"AMB",49,1998,6.7,0
1,"AMB",49,1999,6.7,0
1,"AMB",49,2000,6.7,0
1,"AMB",50,1998,13.1,0
1,"AMB",50,1999,13.1,0
1,"AMB",50,2000,13.1,0
1,"AMB",51,1998,15.3,0
1,"AMB",51,1999,15.3,0
1,"AMB",51,2000,15.3,0
1,"AMB",52,1998,19.5,0
1,"AMB",52,1999,19.5,0
1,"AMB",52,2000,19.5,4
1,"AMB",53,1998,19.4,0
1,"AMB",53,1999,19.4,0
1,"AMB",53,2000,19.4,0
1,"AMB",54,1998,12.6,0
1,"AMB",54,1999,12.6,0
1,"AMB",54,2000,12.6,0
1,"AMB",55,1998,17.7,0
1,"AMB",55,1999,17.7,4
1,"AMB",55,2000,17.7,0
1,"AMB",56,1998,15.8,0
1,"AMB",56,1999,15.8,0
1,"AMB",56,2000,15.8,0
1,"AMB",57,1998,20.3,0
1,"AMB",57,1999,20.3,0
1,"AMB",57,2000,20.3,0
1,"AMB",58,1998,4.3,0
1,"AMB",58,1999,4.3,0
1,"AMB",58,2000,4.3,0
1,"AMB",59,1998,7.6,0
1,"AMB",59,1999,7.6,0
1,"AMB",59,2000,7.6,0
1,"AMB",60,1998,6.5,0
1,"AMB",60,1999,6.5,0
1,"AMB",60,2000,6.5,0
1,"AMB",61,1998,15.7,0
1,"AMB",61,1999,15.7,0
1,"AMB",61,2000,15.7,0
1,"AMB",62,1998,17.1,0
1,"AMB",62,1999,17.1,2
1,"AMB",62,2000,17.1,0
1,"AMB",63,1998,17.5,0
1,"AMB",63,1999,17.5,2
1,"AMB",63,2000,17.5,0
1,"AMB",64,1998,17.9,0
1,"AMB",64,1999,17.9,0
1,"AMB",64,2000,17.9,2
1,"AMB",65,1998,5.2,0
1,"AMB",65,1999,5.2,0
1,"AMB",65,2000,5.2,0
1,"AMB",66,1998,14.8,0
1,"AMB",66,1999,14.8,0
1,"AMB",66,2000,14.8,0
1,"AMB",67,1998,15.5,0
1,"AMB",67,1999,15.5,0
1,"AMB",67,2000,15.5,0
1,"AMB",68,1998,7.7,0
1,"AMB",68,1999,7.7,0
1,"AMB",68,2000,7.7,0
1,"AMB",69,1998,21.9,0
1,"AMB",69,1999,21.9,9
1,"AMB",69,2000,21.9,20
1,"AMB",70,1998,4.8,0
1,"AMB",70,1999,4.8,0
