 id ring tmt  diam  c98 c99 c00 
 1  1 AMB 19.4   0   0   0
 2  1 AMB 14.1   0   0   4
 3  1 AMB 19.4   0   6   0
 4  1 AMB 21.6   0   0   0
 5  1 AMB 10.8   0   0   0
 6  1 AMB 19.8   0   0   0
 7  1 AMB  6.1   0   0   0
 8  1 AMB 15.5   0   0   0
 9  1 AMB 16.1   0   0   0
10  1 AMB  5.8   0   0   0
11  1 AMB  7.3   0   0   0
12  1 AMB 17.3   0   0   0
13  1 AMB  7.7   0   0   0
14  1 AMB 18.6   0   4   2
15  1 AMB  8.0   0   0   0
16  1 AMB 10.8   0   0   0
17  1 AMB 14.0   0   0   2
18  1 AMB 19.0   0   2   8
19  1 AMB  3.4   0   0   0
20  1 AMB 16.3   0   0   0
21  1 AMB 15.6   0   0   0
22  1 AMB  4.4   0   0   0
23  1 AMB 16.5   0   0   3
24  1 AMB 16.2   0   0   8
25  1 AMB 21.6   0   3   1
26  1 AMB 18.8   0   0   0
27  1 AMB 19.1   0   0   3
28  1 AMB 15.5   0   0   0
29  1 AMB  9.3   0   0   0
30  1 AMB  6.0   0   0   0
31  1 AMB 11.7   0   0   0
32  1 AMB 24.3   0  12  15
33  1 AMB 21.5   0  10  12
34  1 AMB  3.5   0   0   0
35  1 AMB  3.0   0   0   0
36  1 AMB 14.2   0   0   0
37  1 AMB 10.2   0   0   0
38  1 AMB 12.2   0   0   0
39  1 AMB  9.3   0   0   0
40  1 AMB 15.4   0   0   0
41  1 AMB 19.8   0   0   0
42  1 AMB 11.3   0   0   0
43  1 AMB 21.4   0   0   0
44  1 AMB 18.9   0   0   0
45  1 AMB 12.7   0   0   0
46  1 AMB 21.1   0   2  15
47  1 AMB 22.3   0   0   0
48  1 AMB 12.7   0   0   0
49  1 AMB  6.7   0   0   0
50  1 AMB 13.1   0   0   0
51  1 AMB 15.3   0   0   0
52  1 AMB 19.5   0   0   4
53  1 AMB 19.40   0   0   0
54  1 AMB 12.60   0   0   0
55  1 AMB 17.70   0   4   0
56  1 AMB 15.80   0   0   0
57  1 AMB 20.30   0   0   0
58  1 AMB  4.30   0   0   0
59  1 AMB  7.60   0   0   0
60  1 AMB  6.50   0   0   0
61  1 AMB 15.70   0   0   0
62  1 AMB 17.10   0   2   0
63  1 AMB 17.50   0   2   0
64  1 AMB 17.90   0   0   2
65  1 AMB  5.20   0   0   0
66  1 AMB 14.80   0   0   0
67  1 AMB 15.50   0   0   0
68  1 AMB  7.70   0   0   0
69  1 AMB 21.90   0   9  20
70  1 AMB  4.80   0   0   0
71  1 AMB  5.60   0   0   0
72  1 AMB 22.30   0   0   0
73  1 AMB 11.50   0   0   0
74  1 AMB 22.30   0   0   2
75  1 AMB 13.20   0   0   0
76  1 AMB 23.80   0  10  14
77  1 AMB  6.50   0   0   0
78  1 AMB 19.40   0   0   5
79  1 AMB 18.50   0   0   0
80  1 AMB 17.30   0   3   0
81  1 AMB 12.60   0   0   0
82  1 AMB  6.20   0   0   0
83  1 AMB 17.20   0   0   0
84  1 AMB 14.10   0   0   0
85  1 AMB 20.50   0   0   0
86  1 AMB  6.40   0   0   0
87  1 AMB 21.20   0   0   1
88  1 AMB 16.50   0   0   0
89  1 AMB 11.20   0   0   0
90  1 AMB 10.40   0   0   0
91  1 AMB 23.10   0   0   1
92  1 AMB 15.30   0   0   0
93  1 AMB 22.20   0   5   0
94  1 AMB 18.70   0   3   2
 95  1 AMB 14.10   0   0   0
 96  1 AMB  3.10   0   0   0
 97  2 CO2 20.90   0  59  43
